Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,wellness_program,leave
37,Female,United States,NA,No,Yes,Often,25-Jun,No,Yes,Yes,No,Somewhat easy
32,Male,Canada,NA,No,No,Rarely,25-Jun,No,Yes,No,No,Somewhat difficult
31,Male,United Kingdom,NA,Yes,Yes,Often,26-100,No,Yes,No,No,Somewhat difficult
31,Male,United States,NA,No,No,Never,100-500,Yes,Yes,Yes,Don't know,Don't know
33,Male,United States,NA,Yes,No,Sometimes,25-Jun,No,Yes,Yes,No,Don't know
35,Female,United States,NA,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,No,Somewhat difficult
39,M,Canada,NA,No,No,Never,05-Jan,Yes,Yes,No,No,Don't know
42,Female,United States,NA,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Very difficult
23,Male,Canada,NA,No,No,Never,26-100,No,Yes,Don't know,Don't know,Don't know
31,Male,United States,NA,No,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,No,Don't know
29,male,Bulgaria,NA,No,No,Never,100-500,Yes,Yes,Don't know,No,Don't know
36,Male,United States,NA,Yes,No,Never,500-1000,No,Yes,Don't know,No,Don't know
27,Male,Canada,NA,No,No,Never,25-Jun,No,Yes,Don't know,Don't know,Somewhat easy
29,female,United States,NA,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Somewhat easy
23,Male,United Kingdom,NA,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Don't know,Very easy
32,Male,United States,NA,No,Yes,Sometimes,25-Jun,No,Yes,Yes,No,Don't know
46,male,United States,Yes,Yes,No,Sometimes,05-Jan,Yes,Yes,Yes,Yes,Very easy
36,Male,France,Yes,Yes,No,NA,25-Jun,Yes,Yes,No,Yes,Somewhat easy
29,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,Somewhat difficult
31,male,United States,Yes,No,No,Never,05-Jan,Yes,Yes,No,No,Somewhat difficult
46,Male,United States,No,No,Yes,Often,26-100,Yes,Yes,Yes,No,Don't know
33,male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,Don't know,Don't know
33,male,United States,No,No,No,NA,05-Jan,No,Yes,Don't know,No,Don't know
35,Female,United States,No,Yes,Yes,Rarely,25-Jun,Yes,Yes,Yes,Don't know,Don't know
34,male,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Somewhat difficult
37,Male,United Kingdom,No,No,No,Sometimes,25-Jun,No,Yes,No,No,Very difficult
32,Male,United Kingdom,No,No,No,Never,25-Jun,Yes,Yes,No,No,Don't know
31,Male,United States,Yes,Yes,No,Rarely,05-Jan,Yes,Yes,No,No,Somewhat difficult
30,male,United Kingdom,No,Yes,Yes,Sometimes,500-1000,Yes,Yes,Don't know,No,Somewhat easy
42,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Very easy
40,female,United States,No,No,Yes,Sometimes,05-Jan,No,Yes,Yes,No,Don't know
27,Male,United States,No,No,Yes,Rarely,25-Jun,No,Yes,No,No,Very easy
29,Male,Canada,No,No,No,Rarely,05-Jan,No,Yes,No,No,Very easy
38,Male,Portugal,No,No,No,NA,100-500,No,Yes,No,No,Somewhat easy
50,M,United States,No,No,No,NA,100-500,No,Yes,Yes,No,Don't know
35,M,United States,No,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Very easy
24,Male,United Kingdom,No,No,Yes,Sometimes,25-Jun,No,Yes,No,No,Don't know
35,Male,United States,No,No,No,NA,More than 1000,Yes,Yes,Yes,Don't know,Somewhat difficult
27,Male,Canada,No,Yes,Yes,Sometimes,05-Jan,No,Yes,No,No,Very difficult
18,Male,Netherlands,No,No,No,Often,25-Jun,No,Yes,No,No,Somewhat difficult
30,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Don't know,No,Don't know
38,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Somewhat easy
28,Male,United Kingdom,No,No,No,NA,26-100,No,Yes,Don't know,No,Don't know
34,Male,United States,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
26,m,Canada,Yes,No,No,Sometimes,05-Jan,No,Yes,No,Yes,Don't know
30,male,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Don't know
22,M,United States,No,Yes,Yes,Often,25-Jun,No,Yes,No,No,Very difficult
33,Male,United States,No,No,No,NA,100-500,Yes,Yes,Don't know,Don't know,Don't know
31,M,United States,No,No,No,NA,100-500,Yes,Yes,Don't know,Don't know,Don't know
32,Male,United States,No,No,No,Never,05-Jan,Yes,Yes,Don't know,No,Don't know
28,M,Switzerland,No,No,No,NA,100-500,No,Yes,No,No,Don't know
27,Male-ish,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Don't know
32,maile,United States,No,Yes,No,NA,25-Jun,Yes,Yes,Don't know,No,Somewhat easy
24,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know
33,male,Canada,No,Yes,Yes,Often,25-Jun,Yes,Yes,Don't know,No,Somewhat difficult
26,Female,Poland,No,No,Yes,Sometimes,26-100,Yes,Yes,Don't know,Yes,Very easy
27,Male,United Kingdom,No,No,No,Never,100-500,No,Yes,Yes,No,Somewhat easy
26,Male,France,No,No,No,NA,26-100,No,Yes,No,No,Very easy
35,male,Canada,No,No,No,Sometimes,25-Jun,No,Yes,Don't know,No,Somewhat easy
40,Male,United States,No,Yes,No,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Don't know
23,Female,Australia,No,Yes,Yes,Often,05-Jan,Yes,Yes,No,No,Very easy
36,M,United States,No,No,No,Sometimes,100-500,Yes,Yes,Yes,Don't know,Don't know
34,Male,United States,Yes,No,No,Rarely,05-Jan,Yes,Yes,No,No,Don't know
28,m,France,No,No,No,Never,26-100,No,Yes,No,No,Don't know
34,male,Canada,No,No,No,Never,25-Jun,No,Yes,Don't know,Don't know,Somewhat easy
23,Trans-female,United States,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,Somewhat difficult
38,Male,United Kingdom,No,No,No,NA,26-100,No,Yes,No,No,Somewhat easy
33,Male,United States,No,No,No,Never,More than 1000,No,Yes,Don't know,Yes,Don't know
19,Male,United Kingdom,No,No,No,NA,05-Jan,No,Yes,No,No,Somewhat difficult
25,Male,United States,No,No,No,NA,More than 1000,Yes,Yes,Yes,Yes,Don't know
31,Male,United States,Yes,Yes,No,Sometimes,05-Jan,Yes,Yes,No,No,Somewhat difficult
32,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,Somewhat difficult
28,m,Germany,No,No,No,Never,25-Jun,Yes,Yes,Don't know,Don't know,Very easy
38,Male,United States,No,Yes,No,Sometimes,100-500,Yes,Yes,Yes,No,Don't know
23,Male,United Kingdom,No,No,No,Never,26-100,No,Yes,Yes,Yes,Very easy
27,Cis Female,United States,Yes,No,Yes,Often,05-Jan,Yes,Yes,Yes,Yes,Very easy
33,Male,United States,No,Yes,No,Never,More than 1000,No,Yes,No,No,Don't know
31,Male,United States,No,No,No,NA,26-100,No,Yes,Don't know,No,Don't know
39,Male,United Kingdom,Yes,No,Yes,Often,25-Jun,No,Yes,No,No,Very difficult
34,female,United States,No,Yes,Yes,Rarely,500-1000,Yes,Yes,Yes,No,Don't know
29,F,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know
32,M,United States,No,No,No,NA,500-1000,No,Yes,Don't know,No,Don't know
31,Male,United States,No,No,No,Never,500-1000,No,Yes,Yes,Yes,Somewhat easy
40,male,United States,No,No,Yes,Sometimes,26-100,No,Yes,No,No,Very difficult
34,Male,United States,No,No,No,NA,26-100,No,Yes,Don't know,No,Somewhat easy
18,something kinda male?,Russia,No,No,No,NA,26-100,Yes,Yes,Yes,No,Somewhat easy
25,F,Canada,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know
29,male,United States,No,No,No,Never,26-100,No,Yes,Don't know,No,Don't know
24,Male,United States,No,Yes,No,Rarely,26-100,No,Yes,Don't know,No,Somewhat easy
31,male,Mexico,No,Yes,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Don't know
33,Cis Male,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
30,M,United States,No,No,Yes,Often,05-Jan,No,Yes,No,No,Somewhat easy
44,Female,United States,No,No,No,Never,100-500,No,Yes,Yes,Don't know,Don't know
25,Male,United States,No,Yes,No,NA,26-100,No,Yes,Don't know,Don't know,Very easy
33,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Somewhat easy
29,Male,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Somewhat easy
35,Male,United States,No,Yes,No,Rarely,25-Jun,No,Yes,Yes,No,Somewhat easy
35,M,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,Somewhat easy
28,Male,Brazil,No,Yes,Yes,Rarely,25-Jun,No,Yes,No,No,Don't know
34,m,United States,No,Yes,No,Never,25-Jun,Yes,Yes,Yes,No,Don't know
32,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Somewhat difficult
22,Male,United States,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,No,Don't know
28,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Somewhat easy
45,male,United States,No,Yes,Yes,Rarely,25-Jun,Yes,Yes,Yes,No,Very easy
32,Male,United States,No,No,No,Never,100-500,No,Yes,Yes,No,Don't know
28,male,United States,No,No,No,NA,More than 1000,No,Yes,Don't know,No,Don't know
26,Male,United Kingdom,No,No,No,Never,25-Jun,No,Yes,Don't know,No,Very easy
18,Male,United States,No,No,Yes,Rarely,05-Jan,Yes,Yes,No,No,Very easy
35,Male,United States,No,No,No,NA,26-100,Yes,Yes,Don't know,No,Don't know
29,Male,United States,No,No,No,Never,More than 1000,No,Yes,Yes,No,Don't know
25,Male,United States,No,No,No,NA,26-100,Yes,Yes,Don't know,No,Very easy
33,Male,United States,No,Yes,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,Don't know,Very easy
36,Male,United States,No,No,No,Often,25-Jun,No,Yes,Yes,No,Don't know
27,Male,United States,No,Yes,No,Never,500-1000,No,Yes,Yes,Yes,Don't know
27,Male,United Kingdom,No,No,No,NA,25-Jun,No,Yes,No,No,Don't know
32,M,United States,No,No,Yes,Rarely,100-500,No,Yes,Yes,No,Don't know
31,Male,United Kingdom,No,Yes,No,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
19,male,Slovenia,No,No,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Somewhat easy
33,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Very easy
32,male,United States,No,No,No,Rarely,05-Jan,Yes,Yes,No,No,Very difficult
27,Male,United States,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,Don't know
38,Male,Costa Rica,No,No,No,NA,26-100,Yes,Yes,No,No,Somewhat easy
24,Male,Canada,No,No,Yes,Never,26-100,No,Yes,Don't know,No,Don't know
28,Male,United Kingdom,No,No,No,Never,25-Jun,No,Yes,Don't know,No,Very easy
39,Male,United States,No,No,Yes,Often,More than 1000,No,Yes,Yes,No,Somewhat easy
29,Female,United States,No,No,No,NA,25-Jun,No,Yes,Don't know,No,Somewhat easy
22,m,Austria,No,No,No,NA,25-Jun,Yes,Yes,Don't know,Don't know,Somewhat easy
38,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Don't know,Don't know,Don't know
30,Female,United States,No,Yes,No,NA,More than 1000,Yes,Yes,Don't know,No,Don't know
24,M,United Kingdom,No,No,No,Never,25-Jun,No,Yes,No,No,Don't know
30,male,Ireland,No,No,Yes,Rarely,100-500,No,Yes,No,Yes,Somewhat easy
29,Female,United States,No,No,No,NA,100-500,Yes,Yes,Don't know,No,Don't know
19,Male,Canada,Yes,Yes,No,NA,05-Jan,Yes,Yes,Don't know,No,Somewhat easy
32,male,United States,No,Yes,No,Never,26-100,No,Yes,Don't know,No,Very easy
28,male,Poland,No,No,No,Rarely,25-Jun,Yes,Yes,No,No,Don't know
36,Male,United States,No,No,No,Never,25-Jun,No,Yes,Don't know,Don't know,Don't know
27,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No,Don't know
27,male,United States,No,No,Yes,Rarely,26-100,Yes,Yes,No,No,Somewhat difficult
25,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,No,Very easy
25,F,United States,No,Yes,Yes,Sometimes,500-1000,No,Yes,Yes,No,Don't know
31,M,United States,No,No,No,Never,More than 1000,No,Yes,Yes,No,Don't know
26,male,United States,No,Yes,No,Rarely,25-Jun,No,Yes,Don't know,No,Don't know
33,F,United States,Yes,Yes,Yes,Sometimes,05-Jan,No,Yes,No,Yes,Very difficult
27,Woman,United Kingdom,Yes,Yes,No,NA,05-Jan,Yes,Yes,No,No,Somewhat easy
34,Male,United States,No,No,No,Never,26-100,No,Yes,No,No,Very easy
42,male,United States,No,No,No,NA,25-Jun,No,Yes,No,No,Very difficult
23,male,Ireland,Yes,Yes,No,Sometimes,05-Jan,No,Yes,No,No,Very difficult
24,Male,United Kingdom,No,No,No,Rarely,100-500,No,Yes,Don't know,Yes,Very easy
26,Male,United Kingdom,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Somewhat easy
31,Male,United Kingdom,Yes,No,Yes,Often,25-Jun,No,Yes,Don't know,No,Don't know
22,M,India,No,No,Yes,Never,More than 1000,No,Yes,Don't know,No,Very difficult
23,Female,United States,No,No,No,NA,25-Jun,No,Yes,Don't know,No,Don't know
31,male,United States,No,No,No,Never,26-100,No,Yes,Don't know,No,Don't know
32,Female,United States,No,No,Yes,Often,25-Jun,Yes,Yes,Yes,Don't know,Very easy
45,F,United States,No,No,Yes,Sometimes,05-Jan,No,Yes,Yes,No,Somewhat difficult
33,Male,United States,No,No,No,NA,25-Jun,Yes,Yes,Don't know,No,Very easy
29,male,Mexico,No,No,No,Never,25-Jun,Yes,Yes,No,No,Don't know
28,Female,United Kingdom,No,No,No,Never,26-100,No,Yes,Don't know,No,Somewhat easy
45,M,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Don't know,Don't know,Don't know
43,Male,United States,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,No,Very difficult
37,male,United States,No,No,No,NA,500-1000,Yes,Yes,Yes,No,Don't know
24,Male,United Kingdom,No,No,No,Sometimes,25-Jun,No,Yes,Don't know,No,Somewhat easy
26,Male,France,No,No,No,NA,25-Jun,Yes,Yes,No,No,Somewhat easy
23,male,United Kingdom,No,Yes,No,NA,05-Jan,Yes,Yes,Don't know,No,Don't know
35,Female,United States,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,Don't know,Somewhat easy
38,Female,South Africa,Yes,Yes,Yes,Often,05-Jan,Yes,Yes,No,No,Somewhat easy
28,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Somewhat easy
28,Male,Russia,No,No,No,Sometimes,26-100,No,Yes,No,No,Don't know
35,Male,United States,No,No,Yes,Rarely,25-Jun,No,Yes,No,No,Don't know
32,female,Germany,No,No,No,Sometimes,100-500,No,Yes,No,No,Very difficult
31,Mal,Italy,Yes,Yes,No,Never,25-Jun,No,Yes,No,No,Somewhat easy
35,Female,United States,No,No,No,Never,500-1000,Yes,Yes,Don't know,No,Don't know
26,Male,United States,No,No,No,Rarely,More than 1000,No,Yes,Yes,No,Somewhat easy
27,Male,United States,No,Yes,No,NA,25-Jun,Yes,Yes,Yes,No,Somewhat easy
28,Male,United Kingdom,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,No,Don't know
27,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Very easy
41,male,United States,No,No,Yes,Often,25-Jun,Yes,Yes,No,No,Very difficult
37,Male,Ireland,No,No,No,Sometimes,05-Jan,No,Yes,No,No,Very difficult
34,male,Austria,No,Yes,No,NA,100-500,Yes,Yes,Don't know,Don't know,Very easy
32,Male,United Kingdom,No,Yes,Yes,Sometimes,100-500,Yes,Yes,Don't know,No,Somewhat difficult
21,Male,Canada,No,No,Yes,Sometimes,25-Jun,Yes,Yes,No,No,Somewhat difficult
30,M,United States,No,No,Yes,Often,26-100,No,Yes,No,No,Somewhat easy
24,male,United States,No,No,No,Never,26-100,No,Yes,Don't know,No,Don't know
26,male,Bulgaria,No,No,No,NA,100-500,No,Yes,No,No,Very easy
40,Female,United States,No,No,No,NA,26-100,No,Yes,Yes,Yes,Somewhat easy
26,Male,United Kingdom,Yes,No,Yes,Often,05-Jan,Yes,Yes,No,No,Don't know
32,F,United States,No,Yes,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Don't know
27,female,United States,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,Don't know,Very difficult
30,Male,Germany,Yes,No,Yes,Often,25-Jun,Yes,Yes,Yes,No,Very difficult
31,M,Canada,Yes,No,No,NA,25-Jun,No,Yes,Yes,No,Very easy
41,Male (CIS),United States,No,No,No,NA,26-100,No,Yes,Yes,No,Very easy
34,female,United States,No,No,No,NA,25-Jun,No,Yes,Yes,No,Somewhat easy
33,Male,United Kingdom,No,No,No,NA,26-100,No,Yes,Don't know,No,Don't know
28,male,United States,No,No,No,Rarely,25-Jun,No,Yes,Don't know,No,Don't know
28,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,No,No,Very difficult
23,Male,United States,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,Don't know
24,M,United States,No,No,No,NA,05-Jan,No,Yes,Don't know,Don't know,Very easy
32,male,United States,No,No,No,Rarely,05-Jan,Yes,Yes,No,No,Very difficult
34,Male,Australia,Yes,No,No,Sometimes,05-Jan,Yes,Yes,Don't know,Yes,Somewhat difficult
24,Male,United States,No,No,No,Never,25-Jun,No,Yes,Yes,No,Very easy
26,male,United Kingdom,Yes,No,Yes,Sometimes,05-Jan,No,Yes,No,No,Don't know
36,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,No,Don't know
41,Male,United States,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,No,Don't know
38,Male,United States,No,No,No,Sometimes,26-100,Yes,Yes,Don't know,No,Don't know
30,male,Netherlands,No,No,No,NA,26-100,No,Yes,Don't know,Don't know,Somewhat easy
25,Male,United Kingdom,No,No,No,Never,26-100,No,Yes,No,No,Somewhat difficult
37,Male,Canada,No,Yes,Yes,Often,26-100,No,Yes,Yes,No,Don't know
34,Male,United Kingdom,No,Yes,No,NA,25-Jun,No,Yes,No,No,Somewhat difficult
22,Male,Sweden,No,No,No,NA,25-Jun,No,Yes,Don't know,No,Don't know
34,male,United States,No,Yes,Yes,Sometimes,05-Jan,No,Yes,No,No,Somewhat difficult
33,M,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Somewhat easy
25,Male,South Africa,No,No,No,NA,25-Jun,No,Yes,No,No,Somewhat difficult
27,Male,United States,No,No,No,Never,More than 1000,Yes,Yes,Yes,Don't know,Somewhat easy
40,M,United States,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Don't know
32,M,United States,No,Yes,Yes,Sometimes,05-Jan,Yes,Yes,No,No,Don't know
28,Male,United States,No,Yes,No,NA,100-500,No,Yes,Yes,No,Somewhat easy
31,male,United States,No,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,Very easy
24,Male,United States,No,No,No,Sometimes,25-Jun,No,Yes,Don't know,Don't know,Don't know
29,Male,Canada,No,No,No,Often,25-Jun,No,Yes,No,No,Somewhat difficult
23,Female,United Kingdom,No,No,Yes,Sometimes,25-Jun,No,Yes,Don't know,Don't know,Don't know
42,Male,United States,No,No,No,Never,25-Jun,Yes,Yes,No,No,Somewhat easy
24,Male,United Kingdom,No,No,No,NA,05-Jan,No,Yes,No,No,Don't know
25,Male,Australia,No,Yes,Yes,Often,25-Jun,No,Yes,No,No,Very difficult
27,Female,United States,No,No,Yes,Rarely,25-Jun,No,Yes,Yes,No,Don't know
27,Male,Canada,No,No,No,Sometimes,25-Jun,Yes,Yes,No,No,Very difficult
30,Male,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,No,Don't know
29,male,Poland,No,Yes,Yes,Rarely,25-Jun,No,Yes,No,No,Very difficult
43,Male,Canada,Yes,No,No,NA,25-Jun,Yes,Yes,No,No,Somewhat easy
32,male,United States,No,No,No,NA,25-Jun,No,Yes,No,No,Very easy
41,Male,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Don't know,Very easy
32,Male,United Kingdom,Yes,Yes,Yes,Sometimes,05-Jan,Yes,Yes,Don't know,Don't know,Very easy
37,Female,United States,No,Yes,Yes,Often,26-100,No,Yes,Yes,No,Don't know
32,Male,United States,No,No,No,Never,25-Jun,Yes,Yes,No,No,Very easy
30,Male,Ireland,Yes,No,No,Sometimes,05-Jan,Yes,Yes,No,No,Somewhat difficult
30,Male,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Yes,Very easy
34,male,United Kingdom,No,No,No,Sometimes,26-100,No,Yes,No,No,Somewhat easy
38,Male,United States,No,No,Yes,Rarely,26-100,Yes,Yes,Yes,No,Don't know
33,Male,Canada,No,No,No,NA,100-500,No,Yes,Yes,Yes,Don't know
28,male,Colombia,No,No,No,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
23,Male,United States,No,Yes,No,Sometimes,100-500,No,Yes,Don't know,No,Don't know
22,Male,Australia,Yes,Yes,Yes,Sometimes,25-Jun,Yes,Yes,Don't know,Yes,Somewhat easy
27,male,Portugal,No,No,No,Never,25-Jun,No,Yes,No,No,Don't know
18,male,United States,No,No,Yes,Sometimes,25-Jun,No,Yes,Don't know,No,Don't know
35,male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,Somewhat difficult
27,Male,United Kingdom,No,Yes,Yes,Sometimes,25-Jun,No,Yes,No,No,Somewhat easy
26,Female,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Don't know,Don't know
18,Male,United States,No,No,No,Never,26-100,No,Yes,Don't know,Don't know,Very easy
38,Female,United States,No,No,Yes,Sometimes,05-Jan,No,Yes,No,No,Don't know
26,Female,United States,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,Somewhat easy
30,Male,Switzerland,Yes,No,No,Never,05-Jan,No,Yes,No,No,Somewhat easy
35,male,United States,No,No,No,Never,More than 1000,No,Yes,Don't know,No,Don't know
45,male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Don't know
32,Male,United States,No,No,No,Never,More than 1000,No,Yes,Yes,No,Don't know
56,Male,United States,No,No,Yes,Never,More than 1000,No,Yes,Yes,Don't know,Don't know
24,Female,United States,No,No,No,NA,500-1000,No,Yes,Don't know,No,Don't know
30,F,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Very easy
60,male,United States,No,No,No,NA,More than 1000,No,Yes,Yes,Don't know,Don't know
33,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
37,M,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Don't know
23,Female,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know
31,f,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Somewhat easy
26,Male,United States,No,No,No,Rarely,100-500,No,Yes,Yes,No,Don't know
37,F,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Don't know,Somewhat easy
26,male,Canada,No,Yes,Yes,Often,25-Jun,No,Yes,Yes,No,Don't know
30,queer/she/they,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,Somewhat easy
26,M,United States,No,No,No,NA,26-100,No,Yes,No,No,Don't know
25,Male,United States,No,No,No,NA,26-100,Yes,Yes,Don't know,No,Don't know
27,Male,United States,No,No,No,Sometimes,100-500,No,Yes,Yes,Yes,Don't know
